Order ID,Shop ID,Customer,Delivery Point,PO Value,Received Time,Status,Category
ORD107,SCK3,Kottawa 3,"No. 139, Athurugiriya Road, Kottawa",22531.82,6/12/2025,pending,drink
ORD108,SCK6,katubedda,"No. 78, Bandaranayake Mawatha, Katubedda",28296.34,6/12/2025,pending,drink
ORD109,SCK7,Kotahena 2,"No. 141, K Cyril C Perera Mawatha, Cololmbo 13.",30291.92,6/12/2025,pending,drink
ORD110,SCKE,Kotahena,"No. 01, Bonjeang Road, Colombo 13",45768.8,6/12/2025,pending,drink
ORD111,SCKH,Kohuwala,"No. 135, Dutugemunu Mawatha, Kohuwala",20358.12,6/12/2025,pending,drink
ORD112,SCKJ,Kesbewa 2,"1059, Horana Road, Kesbewa Â ",30401.22,6/12/2025,pending,drink
ORD113,SCKL,Kalubowila,"No. 53, Hospital Road , Kalubowila, Dehiwala",43595.3,6/12/2025,pending,drink
ORD114,SCKO,Kotte,"No. 581, Kotte Road , Pitakotte",26642.6,6/12/2025,pending,drink
ORD115,SCKX,Kaduwela,"131/6, Hewagama, Kaduwela",38612.78,6/12/2025,pending,drink
ORD116,SCKZ,Kesbewa,"No. 220/1, Bandaragama Road, Kasbewa",15003.42,6/12/2025,pending,drink
ORD117,SCM2,Moratuwa Mall,"No. 340, K- Zone, Lakshapathiya, Moratuwa",20627.96,6/12/2025,pending,drink
ORD118,SCM3,Maharagama 2,"No. 184, Dehiwala Road, Maharagama",14670.54,6/12/2025,pending,drink
ORD119,SCMD,Marine Drive,"No. 35, Upathissa Road, Bambalapitiya, Colombo 04",31802.26,6/12/2025,pending,drink
ORD120,SCMF,Maharagama 3,"No. 59, Piliyandala road, Maharagama",13317.96,6/12/2025,pending,drink
ORD121,SCMG,Maharagama,"No. 226, High Level Road, Maharagama",57220.76,6/12/2025,pending,drink
ORD122,SCML,Mount Lavinia,"No. 388/A, Galle Road, Mount Lavinia",32645.88,6/12/2025,pending,drink
ORD123,SCMU,Mulleriyawa -Angoda,"No: 42D, Hospital Road, Angoda.",33811.98,6/12/2025,pending,drink
ORD124,SCMW,Moratuwa 3,"No. 16, St Peters Road, Moratuwa",20419.26,6/12/2025,pending,drink
ORD125,SCMY,Mattakuliya,"Nos. 854 Aluthmawatha Road, Mattakkuliya.",46538.54,6/12/2025,pending,drink
ORD126,SCNG,Nugegoda 2,"No. 14, Nawala Road, Nugegoda",22309.38,6/12/2025,pending,drink
ORD127,SCNW,Nawala,"No. 459, Nawala Road, Rajagiriya",21277.52,6/12/2025,pending,drink
ORD128,SCPA,Piliyandala 2,"118/1 A, Maharagama road, Mavittara,Piliyandala",37414.16,6/12/2025,pending,drink
ORD129,SCPI,Piliyandala,"242, Colombo Road, Miriswatta, Piliyandala",31870.74,6/12/2025,pending,drink
ORD130,SCPK,Pitakotte,"No. 216 A, Thalawathugoda Road, Pitakotte",27033.14,6/12/2025,pending,drink
ORD131,SCPN,Pannipitiya,"No. 361, Highlevel Road, Pannipitiya",21097.26,6/12/2025,pending,drink
ORD132,SCPO,Pitakotte 2,"308, Kotte Road, Pitakotte",30086.48,6/12/2025,pending,drink
ORD133,SCPT,Pittugala ,"No. 296, Kaduwela Road, Pittugala, Malambe ",28786.64,6/12/2025,pending,drink
ORD134,SCPY,Kohuwala 2,"No. 71, Sunethradevi Road, Kohuwala",66518.02,6/12/2025,pending,drink
ORD135,SCRJ,Rajagiriya 2,"No. 522, Kotte Road, Rajagiriya",35345.84,6/12/2025,pending,drink
ORD136,SCRM,Rathmalana,"No. 413, Galle Road, Rathmalana",22640.6,6/12/2025,pending,drink
ORD137,SCRT,Raththanapitiya,"No. 235, Horana Road, Raththanapitya, Boralasgamuwa",16674.38,6/12/2025,pending,drink
ORD138,SCSJ,Rajagiriya,"No. 475, Sri Jayawardenapura Road, Rajagiriya",34184.06,6/12/2025,pending,drink
ORD139,SCSL,Shangri-La Mall,"One Galle Face Mall, Colombo.",40057.22,6/12/2025,pending,drink
ORD140,SCTB,Thimbirigasyaya,"No. 407, Thimbirigasyaya Road, Colombo 05",41445.82,6/12/2025,pending,drink
ORD141,SCTG,Thalawathugoda 2,"No. 158, Pannipitiya Road, Thalawathugoda",36821.36,6/12/2025,pending,drink
ORD142,SCTH,Thalahena,"No. 427, Kaduwela Road, Thalahena",34599.32,6/12/2025,pending,drink
ORD143,SCTL,Thalawathugoda 3,"572/5, Thalawathugoda Road,Madiwela",10175.34,6/12/2025,pending,drink
ORD144,SCTU,Thurstan,"No. 32, Kumarathunga Munidasa Mawatha, Cololmbo 3.",2688,6/12/2025,pending,drink
ORD145,SCUP,Union Place,"No. 199, Union Place, Colombo 2",41588.5,6/12/2025,pending,drink
ORD146,SCVJ,Vidyala Junction,"No. 4, Hokandara Road, Kalalgoda, Pannipitiya",14891.04,6/12/2025,pending,drink
ORD147,SCWJ,Wijerama,"No. 4 & 6, Soratha Mawatha, Nugegoda",25857.08,6/12/2025,pending,drink
ORD148,SCWP,Wellampitiya,"230, Avissawella Road, Wellampitiya.",15788.28,6/12/2025,pending,drink
ORD149,SGRD,Delpe,"No. 324, Kadawatha Road, Delpe Junction, Mahara",41203.52,6/12/2025,pending,drink
ORD150,SLMN,Mawanella,"185, New Kandy Road, Mawanella",5407.26,6/12/2025,pending,drink
